sensor,broker,n,first,last,span_d,silent_d,vmin,vmax,rng_mV,nuniq,rate_per_day
PER_EMLFLOOD_UO-ACOMBFLOOD,EML_RAIN,10,2022-05-09,2022-05-09,0,1332,11.821,11.869,48.00000000000004,8,10.0
PER_EMLFLOOD_UO-BALTIC,EML_RAIN,3919,2021-09-30,2025-09-25,1455,97,11.906,14.125,2218.9999999999995,1028,2.693470790378007
PER_EMLFLOOD_UO-BIRTLEYFS,EML_RAIN,697818,2022-11-25,2025-09-25,1035,97,8.151,12.102,3951.0000000000005,1167,674.2202898550725
PER_EMLFLOOD_UO-CHOPWELLFS,EML_RAIN,676438,2022-11-25,2025-09-25,1035,97,9.815,11.948,2133.000000000001,851,653.5632850241545
PER_EMLFLOOD_UO-DALLANS,EML_RAIN,1492,2021-02-15,2022-11-28,650,1129,6.426,14.243,7817.0,945,2.2953846153846156
PER_EMLFLOOD_UO-DHSCHOOLFS,EML_RAIN,10,2021-03-13,2021-03-13,0,1754,11.785,11.823,38.000000000000256,9,10.0
PER_EMLFLOOD_UO-KGATE,EML_RAIN,1035,2021-04-22,2025-09-25,1616,97,4.074,13.994,9920.0,562,0.6404702970297029
PER_EMLFLOOD_UO-NFARM,EML_RAIN,3250,2021-04-14,2024-01-20,1010,711,12.064,12.262,198.0000000000004,142,3.217821782178218
PER_EMLFLOOD_UO-NZOO,EML_RAIN,1227,2022-02-15,2023-05-07,445,969,6.318,12.959,6641.0,857,2.757303370786517
PER_EMLFLOOD_UO-SHQFS,EML_RAIN,2413,2022-11-25,2022-11-29,3,1128,6.008,12.491,6483.0,1209,804.3333333333334
PER_EMLFLOOD_UO-SSHIELDSFS,EML_RAIN,382664,2022-11-25,2024-11-07,712,419,9.21,11.986,2776.0,1204,537.4494382022472
PER_EMLFLOOD_UO-STTMORE,EML_RAIN,717,2022-02-15,2022-11-20,277,1137,4.639,13.798,9158.999999999998,616,2.588447653429603
PER_EMLFLOOD_UO-SUNDERLANDFS,EML_RAIN,16230,2022-11-08,2025-03-06,848,300,4.621,11.785,7164.0,923,19.139150943396228
PER_EMLFLOOD_UO-TMOUTHFS,EML_RAIN,775,2021-11-18,2023-03-12,478,1025,11.953,12.092,139.00000000000114,73,1.6213389121338913
PER_EMLFLOOD_UO-WALLSENDFS,EML_RAIN,2889,2022-11-25,2022-11-30,5,1127,4.577,11.824,7247.0,689,577.8
PER_EMLFLOOD_UO-WDENTONFS,EML_RAIN,607036,2022-11-25,2025-09-25,1034,97,8.261,11.886,3625.0,793,587.0754352030948
