dev,cls,n,first,last,span_d,silent_d,rate,truncated,dead,duration
PER_EMLFLOOD_UO-BALTIC,EML_RAIN,3919,2021-09-30 11:00:00,2025-09-25 00:00:00,1455,97,7.0,False,0,1553
PER_EMLFLOOD_UO-BIRTLEYFS,EML_RAIN,697818,2022-11-25 11:42:00,2025-09-25 11:44:00,1035,97,684.9662921348314,False,0,1132
PER_EMLFLOOD_UO-CHOPWELLFS,EML_RAIN,676438,2022-11-25 11:42:00,2025-09-25 11:44:00,1035,97,684.0224719101124,False,0,1132
PER_EMLFLOOD_UO-DALLANS,EML_RAIN,1492,2021-02-15 16:00:00,2022-11-28 06:00:00,650,1129,2.134831460674157,False,1,650
PER_EMLFLOOD_UO-KGATE,EML_RAIN,1035,2021-04-22 16:00:00,2025-09-25 00:00:00,1616,97,1.9775280898876404,False,0,1714
PER_EMLFLOOD_UO-NFARM,EML_RAIN,3250,2021-04-14 15:00:00,2024-01-20 00:00:00,1010,711,2.5280898876404496,False,1,1010
PER_EMLFLOOD_UO-NZOO,EML_RAIN,1227,2022-02-15 15:00:00,2023-05-07 00:00:00,445,969,2.0224719101123596,False,1,445
PER_EMLFLOOD_UO-SSHIELDSFS,EML_RAIN,382664,2022-11-25 11:42:00,2024-11-07 09:46:00,712,419,623.5393258426966,False,1,712
PER_EMLFLOOD_UO-STTMORE,EML_RAIN,717,2022-02-15 14:00:00,2022-11-20 07:00:00,277,1137,1.9325842696629214,False,1,277
PER_EMLFLOOD_UO-SUNDERLANDFS,EML_RAIN,16230,2022-11-08 13:14:00,2025-03-06 13:10:00,848,300,10.0,False,1,848
PER_EMLFLOOD_UO-TMOUTHFS,EML_RAIN,775,2021-11-18 15:04:00,2023-03-12 14:38:00,478,1025,10.0,False,1,478
PER_EMLFLOOD_UO-WDENTONFS,EML_RAIN,607036,2022-11-25 11:42:00,2025-09-25 09:44:00,1034,97,677.1011235955057,False,0,1132
PER_TTN_AIRQUALITY001,LORA,45675,2023-10-23 11:04:09,2024-09-21 02:04:24,333,466,123.93258426966293,False,1,333
PER_TTN_AIRQUALITY002,LORA,39720,2023-11-24 10:10:03,2024-11-06 13:52:01,348,420,86.03370786516854,False,1,348
PER_TTN_AIRQUALITY003,LORA,46325,2023-11-23 17:27:49,2024-11-06 14:05:24,348,420,85.59550561797752,False,1,348
PER_TTN_AIRQUALITY004,LORA,85502,2024-03-18 09:42:14,2025-12-31 23:56:05,653,0,143.46067415730337,False,0,653
PER_TTN_AIRQUALITY005,LORA,84265,2024-03-18 09:43:09,2025-12-31 23:55:39,653,0,134.8426966292135,False,0,653
PER_TTN_AIRQUALITY006,LORA,84932,2024-03-18 09:44:00,2025-12-31 23:52:48,653,0,141.37078651685394,False,0,653
PER_TTN_AIRQUALITY007,LORA,81982,2024-03-18 09:44:38,2025-12-31 23:50:37,653,0,124.12359550561797,False,0,653
PER_TTN_AIRQUALITY008,LORA,85262,2024-03-18 09:45:20,2025-12-31 23:59:31,653,0,141.13483146067415,False,0,653
PER_TTN_AIRQUALITY009,LORA,84911,2024-03-18 09:46:13,2025-12-31 23:57:09,653,0,142.08988764044943,False,0,653
PER_TTN_AIRQUALITY011,LORA,84984,2024-03-18 09:50:29,2025-12-31 23:51:35,653,0,142.33333333333334,False,0,653
PER_TTN_AIRQUALITY012,LORA,74299,2024-05-10 13:28:39,2025-11-30 23:59:35,569,30,143.7191011235955,False,0,600
PER_WATER_BEWISE1A,Water SONS,38874,2023-10-29 11:45:00,2025-01-09 21:45:00,438,356,93.5505617977528,False,1,438
