dev,cls,pay_rate,bat_rate,first,last,span_d,silent_d,dead,duration,bat_pay_ratio
PER_EMLFLOOD_UO-BALTIC,EML_RAIN,47.85822021116139,3.341095890410959,2021-09-30 11:00:00,2025-09-25 00:00:00,1455,97,0,1553,14.324108550286107
PER_EMLFLOOD_UO-BIRTLEYFS,EML_RAIN,661.3082191780821,661.3027397260274,2022-11-25 11:42:00,2025-09-25 11:44:00,1035,97,0,1132,1.0000082858450836
PER_EMLFLOOD_UO-CHOPWELLFS,EML_RAIN,651.7575342465753,651.7534246575342,2022-11-25 11:42:00,2025-09-25 11:44:00,1035,97,0,1132,1.0000063054352852
PER_EMLFLOOD_UO-KGATE,EML_RAIN,50.7197549770291,0.5320417287630402,2021-04-22 16:00:00,2025-09-25 00:00:00,1616,97,0,1714,95.33040781396785
PER_EMLFLOOD_UO-NFARM,EML_RAIN,87.06527415143603,3.7265625,2021-04-14 15:00:00,2024-01-20 00:00:00,1010,711,1,1010,23.36342786453629
PER_EMLFLOOD_UO-NZOO,EML_RAIN,265.10483870967744,3.5396825396825395,2022-02-15 15:00:00,2023-05-07 00:00:00,445,969,1,445,74.89508896282368
PER_EMLFLOOD_UO-SSHIELDSFS,EML_RAIN,531.5325443786983,531.5310650887574,2022-11-25 11:42:00,2024-11-07 09:46:00,712,419,1,712,1.000002783073348
PER_EMLFLOOD_UO-SUNDERLANDFS,EML_RAIN,705.45,705.4,2022-11-08 13:14:00,2025-03-06 13:10:00,848,300,1,848,1.000070881769209
PER_EMLFLOOD_UO-TMOUTHFS,EML_RAIN,109.42857142857143,109.28571428571429,2021-11-18 15:04:00,2023-03-12 14:38:00,478,1025,1,478,1.0013071895424837
PER_EMLFLOOD_UO-WDENTONFS,EML_RAIN,633.1657534246575,633.1630136986302,2022-11-25 11:42:00,2025-09-25 09:44:00,1034,97,0,1132,1.0000043270468553
